"filename", "language", "JavaScript", "Rust", "YAML", "JavaScript JSX", "JSON", "Ignore", "PostCSS", "Diff", "XML", "HTML", "comment", "blank", "total"
"h:\tools\cyclemetry\app\src\features\video-preview\utils\videoPreviewSource.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 12, 77
"h:\tools\cyclemetry\app\src\features\widget-drawer\components\DisplayTypePopover.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 11, 3, 42
"h:\tools\cyclemetry\app\src\features\widget-drawer\components\WidgetButtonGrid.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 10, 7, 54
"h:\tools\cyclemetry\app\src\features\widget-drawer\components\WidgetDrawer.jsx", "JavaScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 7, 8, 65
"h:\tools\cyclemetry\app\src\features\widget-drawer\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"h:\tools\cyclemetry\app\src\features\widget-editor\components\BackdropWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 14, 224
"h:\tools\cyclemetry\app\src\features\widget-editor\components\ElevationWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 305, 0, 0, 0, 0, 0, 0, 13, 9, 327
"h:\tools\cyclemetry\app\src\features\widget-editor\components\GradientWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 11, 6, 97
"h:\tools\cyclemetry\app\src\features\widget-editor\components\RouteMapWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 12, 7, 200
"h:\tools\cyclemetry\app\src\features\widget-editor\components\SidebarWidgetsTab.jsx", "JavaScript JSX", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 26, 9, 150
"h:\tools\cyclemetry\app\src\features\widget-editor\components\TextWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 11, 3, 22
"h:\tools\cyclemetry\app\src\features\widget-editor\components\TimeWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 12, 3, 24
"h:\tools\cyclemetry\app\src\features\widget-editor\components\metricWidget\ArcDisplaySection.jsx", "JavaScript JSX", 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 6, 12, 248
"h:\tools\cyclemetry\app\src\features\widget-editor\components\metricWidget\BarFillStyleControls.jsx", "JavaScript JSX", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 9, 74
"h:\tools\cyclemetry\app\src\features\widget-editor\components\metricWidget\HeadingTapeDisplaySection.jsx", "JavaScript JSX", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 7, 9, 213
"h:\tools\cyclemetry\app\src\features\widget-editor\components\metricWidget\LinearDisplaySection.jsx", "JavaScript JSX", 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 8, 11, 220
"h:\tools\cyclemetry\app\src\features\widget-editor\components\metricWidget\MetricWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 21, 8, 71
